address,amount
0x000000000007d3d6f8c126e9b94831bd655471cf,1603
0x01d9cbea069baf1841750cedb67239a72aa21a9f,12
0x01e3de8da7905f389d85bc4961521beae9953e07,201
0x0275cdb03ad006f6329a25011b100016a43c2a7a,1
0x037e3ebe5440d812fc5e61a2f69f8c1ebc154989,119719912049371
0x03cf08150dc3bc4759209c9ebe17481c5fcc1f5d,75637
0x04b57d40934abe413b3da7c387fc8c1732ebe269,100455145684676677
0x05c197fa929e92610734bca35b9800f48f529ecd,990000000000000000
0x088a3d08e3f63253b7c7b3c13e6bedcdc3258dbb,5
0x08c728c2c82ba253a3b27398f9f6b59e0334dc0e,1000000000000000000
0x0b11df5baedbd18545e0ec6875575ff6890f3a93,1000739155035672362472
0x0dc8c98aed9d21622e152ac20dd3f17f046665c0,5000000000000000000
0x0de6781d08ec2b99f31af7c1ba9c50fe30415b95,1
0x0e0b9efcf85486518bb2fbd4d7de89fb6c14cc2a,48768021628569912
0x0e315e5473202edf3e6313234b2061ffb21b8b67,1030000000000000000000
0x103b18651e37f9038d08505f9010cc8460007a5a,1
0x10c638c80034f2becb8c2c892b876c56f7139440,1990619460511456958
0x1177d8bf9dcac73faf2fd71206852e14c086b6b2,1855428632645547512
0x11aa9d3d9728641e08d9fe4d1bcf286090dc2760,280400912675737508313
0x11cbd9f99939076f50cad1477c4d34b6fc299bf7,1
0x12315d062f8f8c66c4b4929bb3d66c27281de90f,521310870199500135
0x12e0b08982f0861643cf4d038dc053591ccf3eaa,1956961255146279
0x12e832e6b1bfc366978440731193781079d5428b,821818451659608931
0x134b450437079b045b2a2539d15ada7f45932836,5201933528786602
0x13629314348649ed8794b6a1c4372f4c46a7fa6e,1513663282604474719
0x14f9fd6bc5ed8f095ab16a87d0a1778df78ddd0c,50000000000000000000
0x154cf4e1e179209058715ccf2c14b13384717218,10000000000000000
0x1779bcea0ee65b67b6c1a75f30c828e5a47f797d,975000000000000000
0x1b3e873c3e4c5cf102c706e28c1e54d6d085b8d6,66701078475434420
0x1c0d76b1f9cc3ae93c7da0964d90c96fad3d0c41,500000000000000000000
0x1ce2974b60310251314bc6befd2c4dc62e176026,20000000000000000000
0x1d3c65e3b9aab4396206820fdf2d1a57cd7751bf,296
0x1de7a15562140dcdddbfebf7f0ebfbb2a51526d9,132466201799528871499
0x1de86858801b110a4a61ec469a972f49a1aa7dde,107
0x1ec12d07727fc85a0249060979911ea7620310a2,50000000000000000
0x200c326a96fd0f7a43a3f02570455bf5f2bc5cdd,1250000000000000000000
0x205169f34ac170d5632f2965e82d5bf61e66d7c9,3
0x2081e680f3f3eed7a7dc10ed51d961007e6a38aa,419844519491931947
0x208c5197c0070c7241d178e6c265267b6700d8e7,7700000000000000000
0x20ead29827b0824db728f3e893c4f06008624bfc,2000000000000000000
0x23935a553a7012474a8aec86ff886570cdd71091,2499999997951459435385
0x2464c909e946ff451dd1a257c2aa31f8c08bbc3f,1000306237650551876679
0x25b220792ec688bb3a1c7cdd952b61ca60f5e86a,816000000000000000000
0x278ee394b9875ed13763abc19e0c18e574b1b3d5,19
0x286508f1dec0b59f156a9666c85a02c8e1128f82,1641127518027839120
0x2ae57ecc52240ff0df36c979799bb2bcf957fb15,3982359881000391928
0x2bc46f5d1bc99b3e15c93ef8fb16ab38178cf0bd,6929025376425188647
0x2bebadbcc99ecef9dd440c58ca4e5b5936ae3f38,753277127562548921058
0x2bff9cb1c0e355595130038b56ae705e9bcb8508,2786210000000004525
0x2c8035dda4cf0100c8945ab8e8ae03a86b8f8acb,748088797533499348922
0x2d0542f98596c6cf06d20581effec4ca7f170b52,50000000000000000000
0x2d42ebe2cae2bbdfc2894911290cd48285b0f8ae,100000000000000000000
0x2d88daf28c3e868b65fea2fec0f262e0701b6148,10817810215381828477
0x3129bfb7be0c6d464b37e1b0e0515af1d84270dd,2484000000000000000000
0x32007bb579f186ed6ed7ebed859c84385e9b9a2e,414152492716846639
0x339dacd21114a9e4baf50636a474c43a69701f5e,542623150284479069
0x34689640366cbb3392f641abc474d4799a94325a,1655519615438062723
0x34783bb7c14fae7034e8b1e720101ec3dd12c051,6000000000000000000
0x371f1c6b17e845c805fc49769cb42f65a998baa0,4829691457726548147
0x373fc1c399627df05f622ffbc737021a607b42b4,1000000000000000000
0x37c4507608b708d92219adf17bd803c1d9ab642d,3702934607979940693
0x392cc1eaf3902b5777d68e13e59845889eb00c69,39567289815697
0x39d34dc54e47ba6f4abb500a1f4f0ea9dfc7feed,4805956806866326361280
0x3c882d4fe53b56f5bc004e2b7e01a69af1745d97,10000000000000000000
0x3d2de99e0e2e81c1bf6fdaa8cefcbdbfd9641456,87510000000000000000
0x3d8b773c16e057ac97cef858ac86a6e755091e97,1686725330458142541
0x3d9d5619f7abe9e9981149fc75ee0eac8eb7032c,9
0x3e78ee555bd4553439fc046272039de12173be3b,10000000000000000000
0x3f690f7ffcb402e3e33d16dcf1c2c46c6b4de7f1,2
0x408946f2848f5f1b5678dac84605636b2ce1ab3f,39084577508895036780
0x40df4e1eb2e27cf7012ee923819791d87fe804a0,94000000000000000000
0x41122ff430cc0373ef12bb84c646588bca879fd7,2060933298641002850763
0x414a1e11fd7a14329a55b85e4f6c1b85773e3889,144788286383689
0x4170ba7d920641e16d263931d42058a76a4a1037,30678455541188463838
0x425e812d1ef1b27a737cee19e8da8a4c08fdc460,14747518875847459742
0x42aa47391ac0775dd67dee05f1050963c2876c22,202000000000000000000
0x42e0c5cab6714366a44aab5ec4657ff96328bf0b,200190907722901223199
0x42ece36dd019352bb4ee8c6e96979b1e1ca35441,1000000000001001
0x43956abdda2c8246a4f03668ec902e28413eb4b0,1002377224925491359
0x4419216f693a999834bf6ded66c6ab70c503fc25,500000000000000000000
0x44a73c832ba4c8f0b67f998bc9f84eba9eea13b7,146531043827470731
0x44b2549e66528b2880d330446ac3d7031cab5914,129246487239441
0x44edba72dd7d8689a38749fbefb975a98803bc5a,1016281775630201636
0x45fdab3008e8f85afa683b3dae84e73074e4b788,750000000000000000
0x4644b8e39de5ade4a3cfbba722144cf0ba9f0d9f,6152676854832514
0x473ac36bd590d9230fd383d8437ceaa6f0cf62f7,1002245443750807552
0x476eed457fb49d9a2dd6189f54d669cd60ed29d9,50000000000000000000
0x48d2e5b15b57b7662eeb83a5d6b0139c01c6a45d,8800552162490915918
0x4975f7fa98194f79c82a535c77638576e4ad5f46,8533743388008837
0x4b958cc5d7ce17fa4076bf8d51353d7f4b49af90,321
0x4c0b4714519fa56376b24c9520e4d7431ced3658,4
0x4e34312c0cb50a35c59224a3329d3c35cad77776,247492029364526831462
0x4e8a511f117c80b97db153fd0adf77986078e175,200000000000000000000
0x4f16f6e321a3d08b23540b8e64d1af4d71b1d15c,328701388775021555
0x4f4d33296c6f3efe7a1c161dd8890a1512216dea,523120858652542612
0x4fc952dbf1a8be9604a66f135282525268ed504e,2000000000000000000
0x4ffdb8d94ec4c6b6c1298b2e3e77fe12e25896ab,1000000000000000000
0x510f2a65d3dc503fc56a432ca5616d563e371517,9268511572079185984
0x514e44032e4c51caa155d46ff8ef3d155238bd4c,100749600812719376
0x515e827aa0d5fd06d6d077d7da61517514397c23,6685763664956400418625
0x520db667c51e79049dbcfc3bf9d3c22ce8d325e1,252684623789503668277
0x52756ab131c5ca8496b2c1142931f3fcfe7041a8,500000000000000000000
0x529985cb83939c43e38737ea66ac10e88adb926d,556920000000000000000
0x54b787637abca4963fce32ad63c0bff48c70d384,15164825062946454307185
0x57b0dfdad06690d4798babd928102313c855d338,5000000000000000000000
0x583eb5f822a986cefceb3fde2a639f98cf3185d9,1421438733601869235690
0x5a1764657d99707e84daf1c68b3a5b5c36466626,5009971037187540301150
0x5a7a5abbd3338a2cf3db5f8d7121e45bb591ebcc,107670107755011912632
0x5d2238753f3ca5e649f9250c303d5c196a069f24,883892355639040803
0x5e5e9f10a3db253b016492b07ac8552cdc506ce1,3007155904776118350263
0x5e819225a5dd80abb372321ffa47c910ff2201af,1007
0x5f1890554ddf64276e810210eb0ee30df1e09024,1
0x6089ee69ff48f1eca4169180ac3d86e9e2719489,4
0x612a2998ffce9187a5e7895d1029780e48b9a53e,1206745245724203
0x637ee3741fe4dd45919b47d5cdd587d8b7a61fce,88794548363821805501
0x63b3a71451d97ca6ca9b1b13a2d8b7826dc861e6,875000000000000000
0x64daf1bb7a503b1cfbff9d2185fce90701c881c7,10100000000000000000
0x6504b79ee0a5bfb5fb14d3d99f7bad752b59ace0,551964702807334200629
0x65c6122338f39b2a4c422fc81964aa0e26afdb92,532
0x6648c3af779691423facb025ac42f88128946c2d,5514846564714520
0x66dc6ad99eb0139ed0bc0eaffdff6dfcdfb1a2a4,369128072160091399838
0x66eb4aa60620619bbf965651c7d8d2ee19fb43d1,45643956390277664842
0x681640e6e386b6aa426b9a1c96ceeff231dd5628,8842350071616390824
0x697e89c411514515d9038bdf1ca2059e7d36d777,1357715478608287
0x6986386178b56c7e1f0dc7a5e5eb76e5db1ae9d3,607395291842876243
0x6b74eeb7b296e6284a3c921b592b6229884fa6ef,17669438450585957805
0x6c6096777130c0b42a0ae1a8640360ec58c273de,663990640631210543913
0x6d2a99e92b6ff259a8e9637ab98c971dff3f81f9,500000000000000000000
0x6d4837efd9762088e7cb26b673cb9b7cd48e2325,2689875450407450573
0x6e20d2c78122d90804ab2ac7bf30283f82affbaf,1016
0x6ecae5e49b488bd02bc4be9f469214473eef31f5,9968112735896509449
0x6fbd3d3c2390606e486e2939d6d2d43600025cce,33
0x6fd20e8cf36277e2d492fe8b8f872388ee721815,285485168431691636602
0x705f2ffc6b9681931a42218164bb230b3441308f,107288262839668290467
0x71733c6e73004df190545285e878eac2762b21a0,4750000000000000000
0x718370834bcac16dcd1893f3202618c747d46313,53436171477030925
0x73dd8c8e761de39d7781a6ea53f6723a77fb33bf,4714455517055531589
0x748c91763fee451e3709daaba32a03407bd86ab2,60562967499952006359
0x75c9ef64a3445a5c64040d80b2317674f343d6ce,1
0x75d9df1efe6d860218afcf5c688f3dad61638d83,40900000000000000000
0x775a2b4ba2df7d96fee4c8eb383d3508fce543a5,103790911795944505336
0x77d1520524fa70758e8293da11811fa72232f455,30969827215260305
0x784a9b39b230a91cd5aa5b2c1496d1943ccdec43,9209353856020818715616
0x788316adcbba96271b9edef6730d2e2b43309bc0,691465815684038
0x792f8dd524c9e721238cdf2e0a3ed23ff4144bbb,2719264423149751164
0x7ab22f2dc61b8de3bf8432bec9f83f29b9ca681c,484563847083621
0x7b0b2b94c0a387230a3572590a2aedf52ec412b8,717489250441088
0x7b3a68747ea23b182e324b526c79025b52be5290,23702724813413515
0x7b416decb8456d642a2ab03a9e4ea59abd848fe6,740360418067318758524
0x7c2e728fc6703fd5cfe659c609b8c314f784c67f,1152637092336748168
0x7f1e0618e3c61553d67c5c6a5b767672c72f1338,120427507294012674
0x7f591d59ad05228bfc2c995595eb33d2e3988cee,6497662993916700096
0x7f6529c153f1b5f3839c5e4314c51c721462020f,11442386388954128
0x809075c699772a1034cc7ac62f4a421814e94905,149305291605656710
0x8110fa3c59be153eebe838deb2ebb3d63b9d82c8,500000000000000000000
0x811add153d7529df5cb5668e70b5fb1dc8e5d5a9,1
0x81c8e27de5f3b391e18a787f155896a308afced9,124204670275392725
0x8327c6fc3c3703e64c70485d39a85bd22e8100a6,152451656191832423
0x835ee10c458314f72a7c8e62303e9dd186264e79,5198754446961
0x83e6e0a965407b4fa937ae86bc05abe7d909c0c1,1936027282760877
0x85a2b6b40f7de10ca1b4b2f2a4d3a1b03a3afba1,577265554920665278
0x85b7799be0fec7389baf94dec471ce1640b2c2ed,15000000000000000000
0x864b26c2244c0bdfb6780bdbcb6435d802cfe284,250000000000000000
0x867e3339c5c133230fc31af1c49245df87a56d48,318120000000000000000
0x8698fa414855cf8f5ac82a92564f103c54968873,6479496452326061276
0x872af3cb1dad88907f2944f166a98a9d4a86dd93,1707
0x898f33d4f328424a526ef24aca71a511f11c2491,1000000000001244
0x8a52144419d05df82ea245083f344d263cb12705,26460674448432356
0x8b39e9161e3c2a14cda7f22d1196e249dc4048c6,906157870109618605
0x8c3ab48efb4efb61131a3b919afb28ea780d4bd6,5000000000000000000
0x8cf6d3eb74da9e339a38f193e3fb267000ee9cdf,393960328485712246
0x8d14afd6a717cc798bfdd18216b5620e8f155c55,3
0x8ed1a7c4736b5835560b0f9e961b8e3581774d42,8809050291550509091319
0x8ee4459ef9550c407c6064c6f00ce9dfdb46ccba,10351950409784787948
0x907dbc8ef6003a6791fd11552b814e253e82db1b,45043047036724251536
0x90fd2fa85d80b87c67465b7ab491b5edee5875e0,239864218187562461
0x93a5faa02745bd176642bf75c8a664e5f07198a6,9945110671383507208
0x94fb3f58845fcc2b1036475ad11bcc19070a8209,64303576250729926
0x9512d81109dd0df7aee66ab13e8ce35ccaad37cf,201000000000000000000
0x951aa34c7e2721f3225ba91c16a96c96b6ab34de,1533470108817672492197
0x9772e5d914aca1fb23bc6b1ec73306d5a4b45660,553565384848736973
0x98962ff19e2fefc72cfc561faa238f0ae0e07159,5000000000000000000
0x9957775138509591c9514536b6e4c2011c1a9ecb,1439476766222944812
0x998790a945d092adb36830f7c0e65f63a6d4c888,184757619165942128
0x9d819e1adaae7114c6f69b5379b1892c91203099,500000000000000000
0x9e0c5080be2f64e76570315212af64edcc395e24,223341116890421471
0x9e187da6c38f6996f9a69be5877f23595e2e3bf7,3841850682564997
0x9e79cf465ff46cb99ae382b215a647e305617e95,23265409455696025592
0x9ef229482450fd94bc5735d93fcd8a5cee93d133,2
0x9feda18bfa63789cd451e0d56f6adf60f0447d7b,50000000000000000
0xa08abf3a95abb90de96bcf8f47ba443c9361278d,112490499999999997272
0xa0dfa7e2f16b394afd86fb346ba0250b6568f66a,1001124821261705273
