address,amount
0x000000000000000000000000000000000000dead,11529041102650941744603016770
0x000000000007d3d6f8c126e9b94831bd655471cf,2015
0x0004d3360e722c2d23035ec703ede83de4d32d1e,22000000000000000000
0x008a7a9fba4a2837671e9dfe27db3d337da2caab,2076890961637733627468897
0x009ebd1923f9f73901a7443467887c78f7a7dc3f,3135749650133070055413363
0x00ae30e30b7ad0ab3620ee7dc9a120b9cf55d916,14219416600637423126518842
0x016fc1051c99432342c7c68784ca34b956099cf1,21116451506108378498864
0x01d9cbea069baf1841750cedb67239a72aa21a9f,1855759159405871798077
0x020a014335d0b9c7d1ef86f8bc26d6a0051fb3b7,1019636089778961008149085
0x022050b4cc6dc719696c5606f73d53c785523165,15207996804019004000000000
0x022527c507d94a883e0127b10b72ffe94659db8a,43767021597421050344097955
0x022cc4f8adc0be7be1a7fcf38b976cb6fabf13c3,35348631179032615862765007
0x02886c60365ebea358753b9a6e6265a221bb72d6,858833323822373364841129
0x031f003ae4411a333a454a542422020febee55e0,22350958536118148000000000
0x03cf08150dc3bc4759209c9ebe17481c5fcc1f5d,34673708235223100000000000
0x043b5bf8a58615e8841bf8d6f49c6eacb9706919,24681276438219509803251332
0x04478713e223833f150dbe4f07bb4b24c73a7aa5,222000000000000000000
0x045547b6aec85f07f9e08cb2c517d841a0fd4706,406743247765927575514265992
0x052852da33871d2b10553986c69804ed278022f0,6028125000000000000000000
0x0583f94aadbf423c923fdb91d5f8bb26b502b872,2231403546035745787662338177
0x05c197fa929e92610734bca35b9800f48f529ecd,10000000000000000000000
0x05f815039c84e3b0de3e50328f848878bc3972a3,1626900000000000000000000
0x06154f31b055e33289790ca2721f8830dfbee1ae,721111062132518000000000
0x06305b8cb284b4ec985302ec006f15896783efd8,4680414405371998537992106
0x06d71fed8ffc9a3075d4f0bbd0e09a7e53ad958e,1107707119384759600000000000
0x07018b001f300401f4cc4c218dd09edf3613dd1b,7402785933153322860889778
0x072aa5529a34c6dfec111661800c7256d98ef63b,1669546980652545695396778
0x078edc9984eb9f9ae2ceee122b0c01f9aad7858f,1849806965728992632372046
0x0856d12b2950ed1d84ec7b052eb5b13084977851,984034629429520500000000
0x08af2a8775db06e8bde3622c8108eb045f7615bc,18641467105898318918409633
0x08be2284f0e74fc792ca9b13bb94580c0251b706,3500770085044206400000000
0x08c4a08d40078f3c2bc8ea5b11298dc616bafe7e,999999999159909
0x09106cef5d36aa548dcfd3b4d809a9be70e093df,900000943864157798413660386
0x09a1429c4280c3641d0d244de7a957da00646e78,86166092390292700000000000
0x09ddba567241cb75b583391db21cb4b3669601c6,1088000000000000000000
0x09e6c6621991ef0d3724cb587240981af242427d,230874358163601133209652
0x09ecb26aa2e71b98f92430b91e659e97a00288cd,57193992488503736225286
0x0b2ec94b1641bac2557fb93555e057836d7e2c9e,2114606048093145969732775039
0x0b3486742c83bddc5044b2cbf9e4ecb20ab944c3,101974305370368494785075174
0x0b365e4d1739e962b217fb2213095ef3286c9aec,100000000000000000000000
0x0b45da76477a7a4743238836817a3edc0b24f9cb,2957203709052206714574591
0x0b4cece1f9d4bc6a8e2ef26937a914e6181390ce,18689808772253674036337161
0x0b8881336d033371d0b81addbc1994aeece128d6,571456857336812912000000000
0x0b9b9ae9a926fe9048f134ffd92d08b85bac3088,1764220944665009176106569
0x0bb9292c1a049afe02de5fbe125ca951b700c436,89163185894378753445978
0x0bee9205b05c87d44e1b265217ffbe8623c8c714,883789757662186553730949897
0x0c1bb6646f84a50390ee2544b8737f352b9ed466,191079929146749398450056
0x0c3b43ea6b0319f0e7d5dd0d6c72c554fba240f3,87034122130506704846442715
0x0c545f947b0256773692de795f12675331f3b9db,40683562795554839275495831
0x0c5f070368add2709110f56ca8be9d858daff9c1,8612026685718701286533028
0x0c76f444c6c8312be9727b74b3d92a4b6170db8b,832836813027336698095
0x0cf95cbb61908837aeba7504d794de1dd56b66d2,150000000010054235069990189
0x0cfe45e6b68a3af40926b0451cbec4b20f2f7561,16703483743858053874151500
0x0d0707963952f2fba59dd06f2b425ace40b492fe,999000000000000000000
0x0d2e30feb7cc26570528258163f675dfca94da91,7130000000000
0x0dbd14ea808c058e42f2af55b8fc6492ee47c1e5,9485557212756857015499
0x0eea0338bac722860f5d974888b2859a2161e05e,151016643173811310775499579
0x0f16db826d16d0ab62f21ef8ba2f268814eebd80,23457529663292407134139280
0x0f24df5d239fc8e2694117d3b2587c1ef978d175,873438000000000000000000
0x0f86dfd45365ad73ea57c51e22b703463b116b70,99930000000000000000
0x0faf2a74c94618b4dca38f00e81999c2ef70c31e,5076100015772872318878159
0x0fb847a9e9521ba2ef8ab2d588b65dc0d5ac6e20,1949636849951641131946465
0x0fb90edffc1afd953955d6587c26cbbb61ea6ac9,34348867197753639718698
0x0fbd9c7717d4381e9a8ea5bfc0fe8e5e500c2964,407680659199
0x0ff11937c4fcc370b6d629693d96ab478c7888e0,166765778581454879009024588
0x0ff63221fcc04a2ea85706403a9840aebbd995aa,10000000299354000000000000
0x103b18651e37f9038d08505f9010cc8460007a5a,96203
0x106c5cc082c7a0aef3b5f3ed95a34133fa7a7bcf,53119438163277452188462530
0x10a0996979c72eaae4fe217f508be2c0bc42ad6d,1139372001352599263092231137
0x10bef2dddf78b6a89baa5a224c7a7f7dd9510793,1656234812993070538286916
0x10df84487d1f0dbb5fdbedc6b66d5308a64b01c8,111114809538245720000000
0x1123b11e72e527e44ce379cf84696e34d37f46ab,3861647817447586154984728
0x11cbd9f99939076f50cad1477c4d34b6fc299bf7,85000000000000000000000000
0x12315d062f8f8c66c4b4929bb3d66c27281de90f,7122458381748355122655489881
0x1272775b36b6124e65786e1acbc0a7322d2a7456,379556704250195479882636
0x12c76d3d746c82ae283d0879cf47825ac5e96a30,790796138038451960
0x12e832e6b1bfc366978440731193781079d5428b,474112425577931468920660592
0x12f8eda5622a48dd6e5de5cd7927576d41ccead9,42884178223839355722101
0x1304e49ae3a764d2931bd2c406b2f99fb820aa2c,26896883634142035378110018
0x130fa18084be0933ba839f9b6131545a3b36606e,10743319965562956988868758
0x134896f5ec748cc2eec55274dbc7808ec1978284,208311226081011523515610791
0x134b450437079b045b2a2539d15ada7f45932836,1992507179500000000000000000
0x139de44e06f419c163c8e599d1e5480c30f80999,222000000000000000000
0x13b1e55063adb5de777f596893b5596581a1c6df,44741483329999994400000000
0x1463a393b2ff665d04f70c98c2bf27e37bf29227,6158925196895461178195808313
0x146f2f1396d6b08c162dfbe83d7e5e9ec59fed4a,9999999930000000000000000
0x147013ae50cc2f76b91ca972bdb069cf8f13035d,6061386572
0x14a30a32b9258dbd323ad1cfdd986217d1713677,84213829204011595037927349
0x14b428b4bb37be07b356baefb9d293f4907f986c,1000009999999999300000000
0x14db57aec9266b0688e0e8ed023ed63dcdb630f7,3534785541430225626638133
0x154cf4e1e179209058715ccf2c14b13384717218,1587113987415545089344345
0x156ac784bae328f6afb6403460145ba8b029d3b5,317
0x162448ce7c6023ed7cb200e5c9cd6059da85044b,2
0x169457ca943d4fa396b4d8dc25e5f480cbf39953,1250000000000000000000000
0x16c199e3d196b15a66a5b4012df8dad11814211b,11502867721872180972406671
0x1765499dd6e4781ce1e8ebc7bdca20cc2a3f328a,27538917949439166270413248
0x17cd383b79243339dc56235e23bd0adc44f684c6,13737128053466264347804583
0x17d84821fc58fc527b870175b61edfa68cc96571,278412687497120795070404
0x17e009e4bc9a50bde6dbadbcb3d9e0d1671c00e8,34623278509941112091402758
0x17e87f840fb6fcb9e56ad30cb1f127545c654797,25000000000000000000000000
0x1802f48efe106404b35767845f6f56b6a5a4c188,552237017696462649445
